x,substrate,s,temp,day,d,id,bkd.nh4.ugl,bkd.srp.ugl,bkd.no3.ugl,Q,chla.ugcm2,chla.mgm2,DM.g,SA.m2,Dm.sa.mgm2,Dm.total.gm2,cr,pen,nh4.k,srp.k,doc.mgl
,cobble,Cobble,20°,Day 7,7,cobble.20°.Day 7,4.2,19.8,152.075,2.16,0.671,6.71,55.887525,0.005517544,10129058.33,40398.75279,4.610762251,,0.87908382,0.30132,3.6
,cobble,Cobble,23°,Day 7,7,cobble.23°.Day 7,4,20.3,141.675,2.16,0.884,8.84,47.530225,0.005058536,9396043.638,37475.19579,4.028809899,,0.48187818,0.48586662,2.95
,cobble,Cobble,26°,Day 7,7,cobble.26°.Day 7,4.4,23.6,116.175,2.16,0.639,6.39,65.055275,0.005587382,11643248.13,46437.94986,4.710874899,,0.7015788,0.97904538,2.825
,cobble,Cobble,20°,Day 14,14,cobble.20°.Day 14,2,4.525,5.2,2.16,0.922,9.22,66.01145,0.006997,9434250.393,37627.57968,0.076435022,,2.0189628,1.18526382,5.675
,cobble,Cobble,23°,Day 14,14,cobble.23°.Day 14,2.1,3.175,6.05,2.16,1.4415,14.415,50.788175,0.0065278,7780289.684,31030.92008,0.899615967,,2.5095312,1.1805372,6.225
,cobble,Cobble,26°,Day 14,14,cobble.26°.Day 14,2,6.525,2,2.16,1.239,12.39,70.673025,0.0080462,8783403.967,35031.74273,1.345989567,,2.8409508,1.51871382,5.575
,cobble,Cobble,20°,Day 21,21,cobble.20°.Day 21,6,3,6.225,2.16,0.7765,7.765,68.548975,0.006265314,10941027.86,43637.21339,0.470449796,,2.3023116,1.0800972,3.175
,cobble,Cobble,23°,Day 21,21,cobble.23°.Day 21,6.1,3,4.25,2.16,1.085,10.85,76.53005,0.006941596,11024849.33,43971.52708,0.375682853,,3.66249978,1.3439196,2.4
,cobble,Cobble,26°,Day 21,21,cobble.26°.Day 21,6,3,3.3,2.16,0.911,9.11,75.1091,0.006319623,11885060.23,47402.39363,2.308263072,,3.521934,1.93354182,2.825
,leaf,Leaves,20°,Day 7,7,leaf.20°.Day 7,12.65,41.65,8.1,2.16,0.113,1.13,0.062675,0.000785,79840.76433,318.4370349,15.4586672,0.898933793,1.0158048,0.17675982,24.95
,leaf,Leaves,23°,Day 7,7,leaf.23°.Day 7,18.075,50.975,8.775,2.16,0.0825,0.825,0.06515,0.000785,82993.63057,331.0119317,15.88359001,1.059645424,1.5363648,0.29808,30.825
,leaf,Leaves,26°,Day 7,7,leaf.26°.Day 7,13.325,45.65,8.175,2.16,0.07,0.7,0.06285,0.000785,80063.69427,319.326169,21.5487107,0.943268333,0.953532,0.26747982,25.7
,leaf,Leaves,20°,Day 14,14,leaf.20°.Day 14,14.525,93.525,3.475,2.16,0.092,0.92,0.07045,0.000785,89745.22293,357.9399937,15.22360479,0.9748715,0.19116,0.32471982,24.4
,leaf,Leaves,23°,Day 14,14,leaf.23°.Day 14,19.025,113.8,8.025,2.16,0.074,0.74,0.0682,0.000785,86878.98089,346.5082693,29.5810022,0.869979667,0.27395982,0.55797822,29.325
,leaf,Leaves,26°,Day 14,14,leaf.26°.Day 14,15.05,119.675,7.85,2.16,0.0815,0.815,0.0668,0.000785,85095.5414,339.3951963,20.23838326,0.782495333,0.46798938,0.58942782,27.45
,leaf,Leaves,20°,Day 21,21,leaf.20°.Day 21,11.625,42.3,13.775,2.16,0.082,0.82,0.077075,0.000785,98184.71338,391.6000712,23.4694793,0.687167,0.51049062,0.2484,24.675
,leaf,Leaves,23°,Day 21,21,leaf.23°.Day 21,14.7,43.9,12.275,2.16,0.071,0.71,0.056775,0.000785,72324.84076,288.460513,9.456796618,0.640822712,0.67935618,0.50712102,23.075
,leaf,Leaves,26°,Day 21,21,leaf.26°.Day 21,11.975,42.175,11.975,2.16,0.062,0.62,0.0629,0.000785,80127.38854,319.5802073,20.70234728,0.612286102,1.07295138,0.36917262,23.4
