x,substrate,s,nutrient,temp,day,d,id,HPD.12.5,HPD.87.5,bkd.ugl,Q,w,z,v,k.hr,k.high.hr,k.low.hr,U,U.high,U.low,PC1,PC2,chla.ugcm2,chla.mgm2,U.chla.mean.mgmgchlad,U.chla.high.mgmgchlad,U.chla.low.mgmgchlad,DM.g,SA.m2,Dm.sa.mgm2,Dm.total.gm2,U.dm.mean.mggdmd,U.dm.high.mggdmd,U.dm.low.mggdmd,,,,
,cobble,Cobble,NH4+-N,20°,Day 7,7,cobble.20°.Day 7,-0.000329486,-0.000157707,4,2.16,0.16,0.09,0.15,0.88,1.19,0.57,7.59528576,10.24833254,4.905318528,-0.359420113,-0.338072433,0.671,6.71,1.131935285,1.527322286,0.73104598,55.887525,0.005517544,10129058.33,40398.75279,1.88E-04,2.54E-04,0,,,,
,cobble,Cobble,NH4+-N,23°,Day 7,7,cobble.23°.Day 7,-0.00022085,-4.96E-05,4,2.16,0.16,0.09,0.15,0.48,0.8,0.18,4.16342592,6.8693184,1.5427584,-0.44762565,-0.212032987,0.884,8.84,0.470975783,0.777072217,0.174520181,47.530225,0.005058536,9396043.638,37475.19579,1.11E-04,1.83E-04,0,,,,
,cobble,Cobble,NH4+-N,26°,Day 7,7,cobble.26°.Day 7,-0.000297475,-8.46E-05,4,2.16,0.16,0.09,0.15,0.7,1.07,0.31,6.061640832,9.2526624,2.6313984,-0.4878254,-0.215591164,0.639,6.39,0.948613589,1.447990986,0.411799437,65.055275,0.005587382,11643248.13,46437.94986,1.31E-04,1.99E-04,0,,,,
,cobble,Cobble,NH4+-N,20°,Day 14,14,cobble.20°.Day 14,-0.000649665,-0.000476025,2,2.16,0.16,0.09,0.15,2.02,2.34,1.71,8.721919296,10.10359008,7.4031408,0.486537072,-0.151947224,0.922,9.22,0.945978232,1.095834065,0.802943688,66.01145,0.006997,9434250.393,37627.57968,2.32E-04,2.69E-04,0,,,,
,cobble,Cobble,NH4+-N,23°,Day 14,14,cobble.23°.Day 14,-0.000790439,-0.000602123,2,2.16,0.16,0.09,0.15,2.51,2.85,2.17,10.84117478,12.29290733,9.364216896,0.520584479,-0.151253972,1.4415,14.415,0.752075947,0.852785802,0.649616157,50.788175,0.0065278,7780289.684,31030.92008,3.49E-04,3.96E-04,0,,,,
,cobble,Cobble,NH4+-N,26°,Day 14,14,cobble.26°.Day 14,-0.00088661,-0.000690003,2,2.16,0.16,0.09,0.15,2.84,3.19,2.48,12.27290746,13.78855872,10.73092666,0.403713933,-0.153152741,1.239,12.39,0.990549432,1.112878024,0.866095776,70.673025,0.0080462,8783403.967,35031.74273,3.50E-04,3.94E-04,0,,,,
,cobble,Cobble,NH4+-N,20°,Day 21,21,cobble.20°.Day 21,-0.000736344,-0.0005365,6,2.16,0.16,0.09,0.15,2.3,2.65,1.93,29.83795834,34.35486566,25.030944,0.049344954,0.347795513,0.7765,7.765,3.842621808,4.424322686,3.223560077,68.548975,0.006265314,10941027.86,43637.21339,6.84E-04,7.87E-04,0,,,,
,cobble,Cobble,NH4+-N,23°,Day 21,21,cobble.23°.Day 21,-0.001124235,-0.000910935,6,2.16,0.16,0.09,0.15,3.66,4.05,3.28,47.46599482,52.45230816,42.50058336,-0.072983292,0.447210164,1.085,10.85,4.374746066,4.834314116,3.917104457,76.53005,0.006941596,11024849.33,43971.52708,1.08E-03,1.19E-03,0,,,,
,cobble,Cobble,NH4+-N,26°,Day 21,21,cobble.26°.Day 21,-0.001098253,-0.000866901,6,2.16,0.16,0.09,0.15,3.52,3.95,3.12,45.64426464,51.24009197,40.44613306,-0.092325984,0.427044845,0.911,9.11,5.010347381,5.62459846,4.439751159,75.1091,0.006319623,11885060.23,47402.39363,9.63E-04,1.08E-03,0,,,,
,leaf,Leaves,NH4+-N,20°,Day 7,7,leaf.20°.Day 7,-0.000320977,-0.00024093,12.65,2.16,0.16,0.09,0.15,1.02,1.16,0.87,27.75585036,31.57335197,23.69941675,-0.178983121,-0.031518304,0.113,1.13,24.56269943,27.94101944,20.97293518,0.062675,0.001425,43982.45614,175.0501754,0.158559398,0.18036744,0.135386421,,,,
,leaf,Leaves,NH4+-N,23°,Day 7,7,leaf.23°.Day 7,-0.000475025,-0.000375519,18.075,2.16,0.16,0.09,0.15,1.54,1.71,1.35,59.98275452,66.76533378,52.77964607,0.258657288,-0.21943431,0.0825,0.825,72.70636912,80.92767731,63.97532857,0.06515,0.001425,45719.29825,181.962807,3.30E-01,3.67E-01,0.290057331,,,,
,leaf,Leaves,NH4+-N,26°,Day 7,7,leaf.26°.Day 7,-0.000310344,-0.000218533,13.325,2.16,0.16,0.09,0.15,0.95,1.12,0.79,27.44455802,32.15635563,22.6433405,-0.082220679,-0.014040324,0.07,0.7,39.20651146,45.9376509,32.34762929,0.06285,0.001425,44105.26316,175.5389474,1.56E-01,1.83E-01,0.128993257,,,,
,leaf,Leaves,NH4+-N,20°,Day 14,14,leaf.20°.Day 14,-8.56E-05,-2.11E-05,14.525,2.16,0.16,0.09,0.15,0.19,0.31,0.08,5.99745384,9.66821184,2.38316904,0.070719019,0.296655382,0.092,0.92,6.518971565,10.50892591,2.59040113,0.07045,0.001425,49438.59649,196.765614,3.05E-02,4.91E-02,0.012111715,,,,
,leaf,Leaves,NH4+-N,23°,Day 14,14,leaf.23°.Day 14,-0.000109415,-4.71E-05,19.025,2.16,0.16,0.09,0.15,0.27,0.39,0.17,11.25811224,16.18668004,6.96789864,0.499111697,0.189507509,0.074,0.74,15.21366519,21.87389195,9.416079243,0.0682,0.001425,47859.64912,190.4814035,5.91E-02,8.50E-02,0.036580467,,,,
,leaf,Leaves,NH4+-N,26°,Day 14,14,leaf.26°.Day 14,-0.000159719,-9.65E-05,15.05,2.16,0.16,0.09,0.15,0.47,0.57,0.35,15.21339291,18.69172291,11.2932792,0.230727414,0.162489288,0.0815,0.815,18.66673977,22.93462934,13.85678429,0.0668,0.001425,46877.19298,186.5712281,8.15E-02,1.00E-01,0.060530658,,,,
,leaf,Leaves,NH4+-N,20°,Day 21,21,leaf.20°.Day 21,-0.000173735,-0.000106165,11.625,2.16,0.16,0.09,0.15,0.51,0.63,0.38,12.81842399,15.70494906,9.59689134,-0.228934808,-0.122590182,0.082,0.82,15.63222438,19.1523769,11.70352602,0.077075,0.001425,54087.7193,215.2691228,5.95E-02,7.30E-02,0.0445809,,,,
,leaf,Leaves,NH4+-N,23°,Day 21,21,leaf.23°.Day 21,-0.000222022,-0.00015695,14.7,2.16,0.16,0.09,0.15,0.68,0.8,0.57,21.57091171,25.37871316,17.94051504,-0.265528251,-0.202811981,0.071,0.71,30.38156579,35.74466642,25.26833104,0.056775,0.001425,39842.10526,158.5715789,1.36E-01,1.60E-01,0.113138276,,,,
,leaf,Leaves,NH4+-N,26°,Day 21,21,leaf.26°.Day 21,-0.00033077,-0.000266102,11.975,2.16,0.16,0.09,0.15,1.07,1.19,0.96,27.75295574,30.80050855,24.7787796,-0.303548558,-0.058257078,0.062,0.62,44.76283184,49.6782396,39.96577355,0.0629,0.001425,44140.35088,175.6785965,1.58E-01,1.75E-01,0.141046093,,,,
