x,Day,day,substrate-temp,substrate,temp,bank,sub.temp,Meso.Location,rep,Time,Cyano,Green,Diatom,Date,Total
,Day 1,1,Leaf-23,Leaf,23°,1,Leaf.23.1.Day 1,A1,1,9:18,0,0,0.05,10/26/2023,0.05
,Day 1,1,Leaf-23,Leaf,23°,1,Leaf.23.1.Day 1,A1,2,,0.04,0,0.04,10/26/2023,0.08
,Day 1,1,Leaf-23,Leaf,23°,1,Leaf.23.1.Day 1,A1,3,,0.01,0,0.07,10/26/2023,0.08
,Day 1,1,Leaf-26,Leaf,26°,1,Leaf.26.1.Day 1,A2,1,9:22,0.08,0,0.1,10/26/2023,0.18
,Day 1,1,Leaf-26,Leaf,26°,1,Leaf.26.1.Day 1,A2,2,,0.05,0,0.07,10/26/2023,0.12
,Day 1,1,Leaf-26,Leaf,26°,1,Leaf.26.1.Day 1,A2,3,,0.08,0,0.14,10/26/2023,0.22
,Day 1,1,Cobble-26,Cobble,26°,1,Cobble.26.1.Day 1,A3,1,9:28,0.04,0,0.05,10/26/2023,0.09
,Day 1,1,Cobble-26,Cobble,26°,1,Cobble.26.1.Day 1,A3,2,,0.11,0,0.2,10/26/2023,0.31
,Day 1,1,Cobble-26,Cobble,26°,1,Cobble.26.1.Day 1,A3,3,,0.01,0.01,0.03,10/26/2023,0.05
,Day 1,1,Leaf-20,Leaf,20°,1,Leaf.20.1.Day 1,A4,1,8:13,0.04,0,0.07,10/26/2023,0.11
,Day 1,1,Leaf-20,Leaf,20°,1,Leaf.20.1.Day 1,A4,2,,0.01,0,0.04,10/26/2023,0.05
,Day 1,1,Leaf-20,Leaf,20°,1,Leaf.20.1.Day 1,A4,3,,0.06,0,0.06,10/26/2023,0.12
,Day 1,1,Cobble-20,Cobble,20°,1,Cobble.20.1.Day 1,A5,1,8:16,0.03,0.01,0.02,10/26/2023,0.06
,Day 1,1,Cobble-20,Cobble,20°,1,Cobble.20.1.Day 1,A5,2,,0.67,0.29,0,10/26/2023,0.96
,Day 1,1,Cobble-20,Cobble,20°,1,Cobble.20.1.Day 1,A5,3,,0.02,0.02,0.02,10/26/2023,0.06
,Day 1,1,Cobble-23,Cobble,23°,1,Cobble.23.1.Day 1,A6,1,9:31,0.02,0.02,0.04,10/26/2023,0.08
,Day 1,1,Cobble-23,Cobble,23°,1,Cobble.23.1.Day 1,A6,2,,0.05,0.06,0.12,10/26/2023,0.23
,Day 1,1,Cobble-23,Cobble,23°,1,Cobble.23.1.Day 1,A6,3,,0.01,0,0,10/26/2023,0.01
,Day 1,1,Cobble-26,Cobble,26°,2,Cobble.26.2.Day 1,B1,1,14:09,0.57,0.03,0,10/26/2023,0.6
,Day 1,1,Cobble-26,Cobble,26°,2,Cobble.26.2.Day 1,B1,2,,0.02,0.06,0.1,10/26/2023,0.18
,Day 1,1,Cobble-26,Cobble,26°,2,Cobble.26.2.Day 1,B1,3,,0.02,0.02,0.06,10/26/2023,0.1
,Day 1,1,Leaf-23,Leaf,23°,2,Leaf.23.2.Day 1,B2,1,10:59,0.04,0.01,0.23,10/26/2023,0.28
,Day 1,1,Leaf-23,Leaf,23°,2,Leaf.23.2.Day 1,B2,2,,0.12,0,0.15,10/26/2023,0.27
,Day 1,1,Leaf-23,Leaf,23°,2,Leaf.23.2.Day 1,B2,3,,0.23,0,0.14,10/26/2023,0.37
,Day 1,1,Leaf-26,Leaf,26°,2,Leaf.26.2.Day 1,B3,1,,0.03,0,0.06,10/26/2023,0.09
,Day 1,1,Leaf-26,Leaf,26°,2,Leaf.26.2.Day 1,B3,2,,0.05,0,0.25,10/26/2023,0.3
,Day 1,1,Leaf-26,Leaf,26°,2,Leaf.26.2.Day 1,B3,3,,0.08,0,0.13,10/26/2023,0.21
,Day 1,1,Cobble-23,Cobble,23°,2,Cobble.23.2.Day 1,B4,1,,0.02,0.01,0.03,10/26/2023,0.06
,Day 1,1,Cobble-23,Cobble,23°,2,Cobble.23.2.Day 1,B4,2,,0.12,0,0.15,10/26/2023,0.27
