Meso,Meso.Location,Rep,Day,day,id,pen.rep,pen.g,pen.g.final,substrate,temp,bank,sub.temp,pen.kg
Leaf.23.1,A1,1,Day 14,14,Leaf.23.1.Day 14,1,726.4,800.4,Leaf,23°,1,Leaf.23,0.8004
Leaf.23.1,A1,2,Day 14,14,Leaf.23.1.Day 14,1,843.7,917.7,Leaf,23°,1,Leaf.23,0.9177
Leaf.23.1,A1,3,Day 14,14,Leaf.23.1.Day 14,1,762.6,836.6,Leaf,23°,1,Leaf.23,0.8366
Leaf.23.1,A1,4,Day 14,14,Leaf.23.1.Day 14,1,996.8,1070.8,Leaf,23°,1,Leaf.23,1.0708
Leaf.23.1,A1,5,Day 14,14,Leaf.23.1.Day 14,1,907,981,Leaf,23°,1,Leaf.23,0.981
Leaf.26.1,A2,1,Day 14,14,Leaf.26.1.Day 14,1,1198.3,1272.3,Leaf,26°,1,Leaf.26,1.2723
Leaf.26.1,A2,2,Day 14,14,Leaf.26.1.Day 14,1,444.67,518.67,Leaf,26°,1,Leaf.26,0.51867
Leaf.26.1,A2,3,Day 14,14,Leaf.26.1.Day 14,1,448.75,522.75,Leaf,26°,1,Leaf.26,0.52275
Leaf.26.1,A2,4,Day 14,14,Leaf.26.1.Day 14,1,1064.5,1138.5,Leaf,26°,1,Leaf.26,1.1385
Leaf.26.1,A2,5,Day 14,14,Leaf.26.1.Day 14,1,583.02,657.02,Leaf,26°,1,Leaf.26,0.65702
Leaf.20.1,A4,1,Day 14,14,Leaf.20.1.Day 14,1,997,1071,Leaf,20°,1,Leaf.20,1.071
Leaf.20.1,A4,2,Day 14,14,Leaf.20.1.Day 14,1,813.5,887.5,Leaf,20°,1,Leaf.20,0.8875
Leaf.20.1,A4,3,Day 14,14,Leaf.20.1.Day 14,1,700.1,774.1,Leaf,20°,1,Leaf.20,0.7741
Leaf.20.1,A4,4,Day 14,14,Leaf.20.1.Day 14,1,594.03,668.03,Leaf,20°,1,Leaf.20,0.66803
Leaf.20.1,A4,5,Day 14,14,Leaf.20.1.Day 14,1,737.7,811.7,Leaf,20°,1,Leaf.20,0.8117
Leaf.23.2,B2,1,Day 14,14,Leaf.23.2.Day 14,1,833.7,907.7,Leaf,23°,2,Leaf.23,0.9077
Leaf.23.2,B2,2,Day 14,14,Leaf.23.2.Day 14,1,629.5,703.5,Leaf,23°,2,Leaf.23,0.7035
Leaf.23.2,B2,3,Day 14,14,Leaf.23.2.Day 14,1,450.31,524.31,Leaf,23°,2,Leaf.23,0.52431
Leaf.23.2,B2,4,Day 14,14,Leaf.23.2.Day 14,1,986.4,1060.4,Leaf,23°,2,Leaf.23,1.0604
Leaf.23.2,B2,5,Day 14,14,Leaf.23.2.Day 14,1,410.17,484.17,Leaf,23°,2,Leaf.23,0.48417
Leaf.26.2,B3,1,Day 14,14,Leaf.26.2.Day 14,1,796.4,870.4,Leaf,26°,2,Leaf.26,0.8704
Leaf.26.2,B3,2,Day 14,14,Leaf.26.2.Day 14,1,596.88,670.88,Leaf,26°,2,Leaf.26,0.67088
Leaf.26.2,B3,3,Day 14,14,Leaf.26.2.Day 14,1,548.46,622.46,Leaf,26°,2,Leaf.26,0.62246
Leaf.26.2,B3,4,Day 14,14,Leaf.26.2.Day 14,1,637,711,Leaf,26°,2,Leaf.26,0.711
Leaf.26.2,B3,5,Day 14,14,Leaf.26.2.Day 14,1,483.13,557.13,Leaf,26°,2,Leaf.26,0.55713
Leaf.20.2,B6,1,Day 14,14,Leaf.20.2.Day 14,1,465.52,539.52,Leaf,20°,2,Leaf.20,0.53952
Leaf.20.2,B6,2,Day 14,14,Leaf.20.2.Day 14,1,1014.1,1088.1,Leaf,20°,2,Leaf.20,1.0881
Leaf.20.2,B6,3,Day 14,14,Leaf.20.2.Day 14,1,967.5,1041.5,Leaf,20°,2,Leaf.20,1.0415
Leaf.20.2,B6,4,Day 14,14,Leaf.20.2.Day 14,1,1799.1,1873.1,Leaf,20°,2,Leaf.20,1.8731
Leaf.20.2,B6,5,Day 14,14,Leaf.20.2.Day 14,1,733.4,807.4,Leaf,20°,2,Leaf.20,0.8074
Leaf.20.3,C2,1,Day 14,14,Leaf.20.3.Day 14,1,836.4,910.4,Leaf,20°,3,Leaf.20,0.9104
Leaf.20.3,C2,2,Day 14,14,Leaf.20.3.Day 14,1,724.4,798.4,Leaf,20°,3,Leaf.20,0.7984
Leaf.20.3,C2,3,Day 14,14,Leaf.20.3.Day 14,1,835.3,909.3,Leaf,20°,3,Leaf.20,0.9093
Leaf.20.3,C2,4,Day 14,14,Leaf.20.3.Day 14,1,668.2,742.2,Leaf,20°,3,Leaf.20,0.7422
Leaf.20.3,C2,5,Day 14,14,Leaf.20.3.Day 14,1,936.9,1010.9,Leaf,20°,3,Leaf.20,1.0109
Leaf.23.3,C3,1,Day 14,14,Leaf.23.3.Day 14,1,540.57,614.57,Leaf,23°,3,Leaf.23,0.61457
Leaf.23.3,C3,2,Day 14,14,Leaf.23.3.Day 14,1,999.7,1073.7,Leaf,23°,3,Leaf.23,1.0737
Leaf.23.3,C3,3,Day 14,14,Leaf.23.3.Day 14,1,1198,1272,Leaf,23°,3,Leaf.23,1.272
Leaf.23.3,C3,4,Day 14,14,Leaf.23.3.Day 14,1,790.5,864.5,Leaf,23°,3,Leaf.23,0.8645
Leaf.23.3,C3,5,Day 14,14,Leaf.23.3.Day 14,1,948.6,1022.6,Leaf,23°,3,Leaf.23,1.0226
Leaf.26.3,C4,1,Day 14,14,Leaf.26.3.Day 14,1,541.45,615.45,Leaf,26°,3,Leaf.26,0.61545
Leaf.26.3,C4,2,Day 14,14,Leaf.26.3.Day 14,1,739.5,813.5,Leaf,26°,3,Leaf.26,0.8135
Leaf.26.3,C4,3,Day 14,14,Leaf.26.3.Day 14,1,530.81,604.81,Leaf,26°,3,Leaf.26,0.60481
Leaf.26.3,C4,4,Day 14,14,Leaf.26.3.Day 14,1,1441.2,1515.2,Leaf,26°,3,Leaf.26,1.5152
Leaf.26.3,C4,5,Day 14,14,Leaf.26.3.Day 14,1,1102.9,1176.9,Leaf,26°,3,Leaf.26,1.1769
Leaf.20.4,D1,1,Day 14,14,Leaf.20.4.Day 14,1,1697.3,1771.3,Leaf,20°,4,Leaf.20,1.7713
Leaf.20.4,D1,2,Day 14,14,Leaf.20.4.Day 14,1,1595.9,1669.9,Leaf,20°,4,Leaf.20,1.6699
Leaf.20.4,D1,3,Day 14,14,Leaf.20.4.Day 14,1,1796.7,1870.7,Leaf,20°,4,Leaf.20,1.8707
Leaf.20.4,D1,4,Day 14,14,Leaf.20.4.Day 14,1,332.51,406.51,Leaf,20°,4,Leaf.20,0.40651
Leaf.20.4,D1,5,Day 14,14,Leaf.20.4.Day 14,1,1603.2,1677.2,Leaf,20°,4,Leaf.20,1.6772
Leaf.26.4,D2,1,Day 14,14,Leaf.26.4.Day 14,1,716.6,790.6,Leaf,26°,4,Leaf.26,0.7906
Leaf.26.4,D2,2,Day 14,14,Leaf.26.4.Day 14,1,523.57,597.57,Leaf,26°,4,Leaf.26,0.59757
Leaf.26.4,D2,3,Day 14,14,Leaf.26.4.Day 14,1,413.11,487.11,Leaf,26°,4,Leaf.26,0.48711
Leaf.26.4,D2,4,Day 14,14,Leaf.26.4.Day 14,1,611.6,685.6,Leaf,26°,4,Leaf.26,0.6856
Leaf.26.4,D2,5,Day 14,14,Leaf.26.4.Day 14,1,860.6,934.6,Leaf,26°,4,Leaf.26,0.9346
Leaf.23.4,D4,1,Day 14,14,Leaf.23.4.Day 14,1,467.3,541.3,Leaf,23°,4,Leaf.23,0.5413
Leaf.23.4,D4,2,Day 14,14,Leaf.23.4.Day 14,1,665.4,739.4,Leaf,23°,4,Leaf.23,0.7394
